L,A,Y
1,3,6.618050537338437
1,1,13.1582013821657
1,3,4.2898819180675964
1,1,-0.1945388014408267
1,3,9.50579417685185
0,3,5.407872260463245
1,2,9.413456713338324
1,1,7.5368645050924306
1,3,8.359814489066688
0,1,0.6896244248422354
0,2,4.807656463906021
0,1,-6.0384311292196085
0,1,-1.686128582773466
1,2,0.45671734259409114
0,1,-1.7516864092245443
0,2,2.9534422407359355
1,1,-0.20425775949149472
0,2,-7.594297381520169
1,2,9.189873466354161
1,3,16.366571285360074
1,3,3.9097839355760433
1,3,2.956056411651664
0,1,-4.530213340572169
1,1,4.8870306406136
1,3,9.763651597728511
0,2,-4.159284864068791
1,3,2.1597172800174267
0,2,3.2697353082859335
1,3,3.0856113290028713
1,1,-4.3115310220023595
1,3,5.291449124070798
1,3,7.886539130197206
0,3,5.041457627585337
1,3,14.262215872397345
1,2,1.2797692628449298
1,3,6.108980655568335
0,2,0.36086883873328723
0,1,-8.65968157715129
1,3,3.828857797877756
0,1,0.6877434482776277
1,3,10.990583106497596
0,2,4.4350730911956395
1,1,-0.8768239670043414
0,1,-2.994810571636273
1,3,5.51111840005152
0,1,-1.8882010785106567
1,3,14.123477155740193
1,1,0.6627059529007271
0,2,-0.46019471724066285
0,1,-3.2509742520902565
1,3,3.6089541345883496
0,3,4.4892445713741065
0,1,-2.034748070883231
1,3,4.396003426294736
1,3,8.099119729538291
1,1,0.5688516806515524
0,3,-0.156464991655219
1,3,6.151176338497262
1,1,1.980378800402158
0,1,-2.9135098077418693
1,1,-2.2135014597535703
1,3,14.639884041993641
1,1,-8.56417731725737
1,1,2.6894238599132296
1,2,10.498518335070347
1,3,1.8261677182400762
0,1,1.039156138248925
1,3,3.876014453241965
1,3,11.766279926639465
1,3,9.426594404430217
0,2,9.5262792055505
0,1,2.896549749189454
1,3,18.190114371074955
1,3,9.032506739742583
1,3,-7.248077875753282
0,1,1.7680791484305312
0,1,3.4791360379826917
0,1,10.668506905997152
0,1,5.778772929775491
1,3,7.906997563035226
1,3,4.672993356303203
1,3,5.200091903427271
1,3,4.957937933694142
0,1,0.3171302918436266
0,1,3.490495860420164
0,1,2.4109395754761245
0,1,-3.3113079547799007
0,1,-6.3516094955702185
1,3,5.116810579930618
0,3,9.48537769806503
1,2,1.3370946546071139
1,2,12.457704231067591
1,1,-2.670973844503356
0,3,-0.5385521821031336
1,3,11.664799321381157
1,3,4.890808892446257
0,1,6.4833519712606265
1,3,7.546901990115485
0,1,2.7436857458229937
0,1,-1.5790980958545622
